% Model:              20230907_silksimulation_60kPa.mph
% Version:            COMSOL 6.1.0.357
% Date:               Oct 7 2023, 16:21
% Dimension:          3
% Nodes:              6683
% Expressions:        1
% Description:        サーフェス
% x                       y                        z                        sqrt((ux^2+vy^2+wz^2))
-4132.601771309903        6000                     2.764386146159211        1214.4607077843305
-4132.601771309903        6000                     3.1                      1361.8977845408485
-4132.100759278386        6000                     3.1000000000000005       1320.024795021212
-4132.100759278386        6000                     0.3439358219746913       109.23904524313116
-4132.601771309903        6000                     0                        0.018998328936465986
-4132.100759278386        6000                     0                        0.01977783179065775
-4132.601771309904        6000                     5.864386146157331        2430.212156226646
-4132.601771309904        6000                     6.2                      2559.9090049539827
-4132.100759278384        6000                     6.2                      2485.777400398796
-4132.100759278386        6000                     3.4439358219748115       1420.6790515785292
-4132.601771309904        6000                     8.964386146156048        3482.079105175684
-4132.601771309904        6000                     9.299999999999999        3594.0336615296933
-4132.100759278383        6000                     9.3                      3497.2578164660017
-4132.1007592783835       6000                     6.543935821976852        2577.8637513197705
-4132.601771309904        6000                     12.064386146156048       4370.059490288289
-4132.601771309903        6000                     12.400000000000002       4464.2717542685705
-4132.100759278383        6000                     12.4                     4354.466043220647
-4132.100759278383        6000                     9.643935821977692        3580.7762617457747
-4132.601771309904        6000                     15.164386146154284       5094.153311596146
-4132.6017713099045       6000                     15.5                     5170.623283207148
-4132.10075927838         6000                     15.5                     5057.402080699951
-4132.100759278382        6000                     12.743935821977812       4429.416582862677
-4136.7286307579525       6000                     0.2670173232666731       117.31518864003327
-4136.7286307579525       6000.000000000001        3.100000000000001        1706.7968600597137
-4136.728630757953        6000                     0                        0.012958308194195108
-4136.7286307579525       6000                     3.3670173232679406       1809.9848095049815
-4136.72863075795         6000                     6.200000000000002        3170.5161926770115
-4136.72863075795         6000                     6.467017323268928        3259.5882188255728
-4136.728630757947        6000                     9.299999999999999        4391.157997976318
-4136.728630757947        6000                     9.567017323271795        4466.114100828664
-4136.728630757947        6000                     12.400000000000004       5368.722275964861
-4136.728630757946        6000                     12.667017323271985       5429.562455523184
-4136.728630757944        6000                     15.5                     6103.209026665069
-4137.117604325917        6000                     2.8394526062636407       1593.1240959280974
-4137.117604325917        6000                     3.100000000000001        1739.3041011540504
-4137.117604325916        6000                     0                        0.012386637515047039
-4137.117604325916        6000.000000000001        5.939452606262499        3102.9426484630067
-4137.117604325916        6000                     6.200000000000002        3228.0668351827003
-4137.1176043259175       6000                     9.03945260625951         4362.220878893239
-4137.1176043259175       6000                     9.299999999999999        4466.288202195037
-4137.117604325917        6000                     12.139452606259338       5370.957742314269
-4137.117604325917        6000                     12.400000000000004       5453.968202197429
-4137.1176043259175       6000                     15.239452606257316       6129.153238745612
-4137.1176043259175       6000                     15.5                     6191.106835212415
-4141.356772793955        6000.000000000001        0.1899864671615069       106.5982814823458
-4141.3567727939535       6000                     3.1                      2093.5679546394335
-4141.356772793955        6000.000000000001        0                        0.006454313154039665
-4141.3567727939535       6000                     3.2899864671625867       2184.806258160574
-4141.356772793951        6000                     6.2                      3855.253934277104
-4141.356772793951        6000                     6.389986467164748        3931.137952219289
-4141.356772793949        6000.000000000001        9.299999999999999        5285.05793894248
-4141.356772793949        6000                     9.489986467165826        5345.5876713055095
-4141.356772793945        6000                     12.4                     6382.979968638989
-4141.356772793945        6000                     12.589986467167922       6428.155415424282
-4141.356772793943        6000                     15.5                     7149.020023374449
-4141.63353910657         6000                     2.914623452681359        1990.1234096992584
-4141.63353910657         6000                     3.1                      2116.696425521246
-4141.633539106571        6000.000000000001        0                        0.006063577611141063
-4141.63353910657         6000                     6.014623452679313        3789.790353897899
-4141.63353910657         6000                     6.2                      3896.2004918116227
-4141.63353910657         6000.000000000001        9.114623452678195        5252.265301073595
-4141.63353910657         6000.000000000001        9.299999999999999        5338.512198894942
-4141.63353910657         6000                     12.21462345267609        6377.547889045416
-4141.63353910657         6000                     12.4                     6443.6315467746645
-4141.633539106572        6000                     15.31462345267299        7165.638117820269
-4141.633539106572        6000                     15.5                     7211.558535457645
-4145.985185400748        6000                     0.11284324769522668      77.04831734448463
-4145.985185400745        6000.000000000001        3.1                      2480.3378726476217
-4145.985185400748        6000.000000000001        0                        2.2047071094539363E-4
-4145.985185400745        6000                     3.2128432476973874       2545.1123315727705
-4145.985185400742        6000                     6.2                      4539.990260366816
-4145.985185400742        6000                     6.312843247699548        4592.490860873059
-4145.985185400738        6000.000000000001        9.299999999999999        6178.957163159016
-4145.985185400738        6000.000000000001        9.412843247701707        6219.183905245989
-4145.985185400737        6000                     12.4                     7397.238581024281
-4145.985185400737        6000                     12.51284324770387        7425.191464691781
-4145.985185400732        6000                     15.5                     8194.834513962936
-4146.149575646597        6000.000000000001        2.98989868001017         2405.495548079194
-4146.149575646598        6000.000000000001        3.1                      2494.0745981036735
-4146.149575646598        6000.000000000001        0                        0
-4146.149575646597        6000.000000000001        6.089898680008063        4490.783636383044
-4146.149575646597        6000.000000000001        6.2                      4564.309731730939
-4146.149575646597        6000.000000000001        9.189898680005916        6152.232260211396
-4146.149575646597        6000                     9.299999999999999        6210.705400882146
-4146.149575646598        6000.000000000001        12.289898680003809       7389.841419564065
-4146.149575646598        6000                     12.4                     7433.261605557044
-4146.149575646599        6000                     15.389898680000684       8203.611114440962
-4146.149575646599        6000                     15.5                     8231.978345755924
-4132.601771309903        6000                     18.264386146155935       5661.792653907386
-4132.601771309902        6000                     18.6                     5721.4224464666895
-4132.100759278382        6000                     18.6                     5602.139675945028
