% Model:              20230907_silksimulation_90kPa.mph
% Version:            COMSOL 6.1.0.357
% Date:               Oct 2 2023, 20:06
% Dimension:          3
% Nodes:              315
% Expressions:        2
% Description:        せん断速度, 
% Length unit:        µm
% x                       y                        z                        spf.sr (1/s)             spf.sr*spf.mu (Pa)
-4146.149575646598        6000                     6.0898986800078365       6702.808017323674        8.043369620788406
-4132.100759278381        6000                     15.5                     12260.932918834143       14.713119502600971
-4146.149575646599        6000                     15.5                     17058.909785225544       20.47069174227065
-4146.149575646597        6000                     0                        1.4901161193847656E-8    1.7881393432617183E-11
-4132.100759278387        6000.000000000001        9.64393582197414         5754.8164954870535       6.905779794584463
-4132.100759278386        6000                     0                        10982.148867002701       13.17857864040324
-4146.149575646598        6000                     21.58989868000204        18629.325752775196       22.355190903330232
-4132.100759278383        6000                     31                       13584.397220839537       16.301276665007446
-4146.149575646597        6000                     31                       21055.71116343094        25.266853396117124
-4132.100759278381        6000                     25.143935821977692       12074.281119220996       14.489137343065194
-4123.570399270132        6000                     5.71462391009245         14594.158161579138       17.512989793894967
-4108.967385826326        6000                     15.499999999999996       9965.656081414976        11.958787297697969
-4123.570399270131        6000                     15.499999999999998       9456.007427895149        11.347208913474176
-4123.570399270132        6000                     0                        17651.25033784351        21.181500405412212
-4108.967385826326        6000                     10.024744923127702       12772.134296373662       15.326561155648392
-4108.967385826325        6000                     0                        21118.774142593065       25.342528971111673
-4146.149575646598        6000                     37.08989868000603        19485.29612051891        23.382355344622688
-4132.100759278385        6000                     46.5                     12260.932614531224       14.713119137437468
-4146.149575646597        6000                     46.5                     17058.912292367633       20.47069475084116
-4132.100759278383        5999.999999999999        40.643935821975795       13831.725517817842       16.598070621381407
-4123.570399270129        6000                     31                       9190.964982768752        11.0291579793225
-4123.570399270131        6000                     21.214623910093504       9406.003301800327        11.28720396216039
-4100.992012992219        6000                     15.499999999999996       10201.106383870583       12.2413276606447
-4100.992012992221        6000                     0                        23012.81766315832        27.61538119578998
-4100.992012992221        6000                     5.345031102275508        18567.922163320698       22.281506595984837
-4085.849836972722        6000                     15.499999999999996       10218.998803863904       12.262798564636684
-4085.849836972722        6000                     10.392827214664544       14383.45442317766        17.26014530781319
-4085.849836972722        6000                     0                        23016.28606894422        27.619543282733062
-4078.4091620573927       6000                     4.990768447690028        18866.632263951586       22.6399587167419
-4062.7557057690938       6000.000000000001        15.499999999999996       9756.538733576926        11.707846480292307
-4078.4091620573927       6000                     15.499999999999996       10202.982269070897       12.243578722885076
-4078.4091620573936       6000                     0                        23017.969820091188       27.621563784109426
-4062.7557057690938       6000                     10.740183405319742       13631.132067366409       16.35735848083969
-4062.755705769093        6000                     0                        19306.85838639365        23.168230063672382
