% Model:              20230907_silksimulation_70kPa1.mph
% Version:            COMSOL 6.1.0.357
% Date:               Oct 6 2023, 19:56
% Dimension:          3
% Nodes:              6683
% Expressions:        1
% Description:        サーフェス
% x                       y                        z                        sqrt((ux^2+vy^2+wz^2))
-4132.601771309903        6000                     2.764386146159211        1403.7310041266269
-4132.601771309903        6000                     3.1                      1574.1457203575364
-4132.100759278386        6000                     3.1000000000000005       1525.7463638222077
-4132.100759278386        6000                     0.3439358219746913       126.26332194479892
-4132.601771309903        6000                     0                        0.022110747564475848
-4132.100759278386        6000                     0                        0.023016608720533217
-4132.601771309904        6000                     5.864386146157331        2808.952451847883
-4132.601771309904        6000                     6.2                      2958.8620126144597
-4132.100759278384        6000                     6.2                      2873.1761142244586
-4132.100759278386        6000                     3.4439358219748115       1642.0867446920038
-4132.601771309904        6000                     8.964386146156048        4024.746871427597
-4132.601771309904        6000                     9.299999999999999        4154.148877112165
-4132.100759278383        6000                     9.3                      4042.2892515961244
-4132.1007592783835       6000                     6.543935821976852        2979.6132058604985
-4132.601771309904        6000                     12.064386146156048       5051.111863251163
-4132.601771309903        6000                     12.400000000000002       5160.006313853384
-4132.100759278383        6000                     12.4                     5033.085775933833
-4132.100759278383        6000                     9.643935821977692        4138.823053992609
-4132.601771309904        6000                     15.164386146154284       5888.047427358352
-4132.6017713099045       6000                     15.5                     5976.434322883583
-4132.10075927838         6000                     15.5                     5845.565687280125
-4132.100759278382        6000                     12.743935821977812       5119.716289094666
-4136.7286307579525       6000                     0.2670173232666731       135.59846343379076
-4136.7286307579525       6000.000000000001        3.100000000000001        1972.7997584259474
-4136.728630757953        6000                     0                        0.01502177165518457
-4136.7286307579525       6000                     3.3670173232679406       2092.0691187036537
-4136.72863075795         6000                     6.200000000000002        3664.636844114847
-4136.72863075795         6000                     6.467017323268928        3767.5902138514534
-4136.728630757947        6000                     9.299999999999999        5075.511257212032
-4136.728630757947        6000                     9.567017323271795        5162.148636408207
-4136.728630757947        6000                     12.400000000000004       6205.422997726835
-4136.728630757946        6000                     12.667017323271985       6275.744386385283
-4136.728630757944        6000                     15.5                     7054.372065686647
-4137.117604325917        6000                     2.8394526062636407       1841.4114216476944
-4137.117604325917        6000                     3.100000000000001        2010.3734718261976
-4137.117604325916        6000                     0                        0.014349883016154908
-4137.117604325916        6000.000000000001        5.939452606262499        3586.53260725536
-4137.117604325916        6000                     6.200000000000002        3731.1571630332787
-4137.1176043259175       6000                     9.03945260625951         5042.065219710792
-4137.1176043259175       6000                     9.299999999999999        5162.351073748503
-4137.117604325917        6000                     12.139452606259338       6208.008051683468
-4137.117604325917        6000                     12.400000000000004       6303.955203980145
-4137.1176043259175       6000                     15.239452606257316       7084.361103197273
