% Model:              20230907_silksimulation_80kPa.mph
% Version:            COMSOL 6.1.0.357
% Date:               Oct 2 2023, 21:12
% Dimension:          3
% Nodes:              315
% Expressions:        2
% Description:        せん断速度, 
% Length unit:        µm
% x                       y                        z                        spf.sr (1/s)             spf.sr*spf.mu (Pa)
-4146.149575646598        6000                     6.0898986800078365       5995.929512802608        7.195115415363128
-4132.100759278381        6000                     15.5                     10967.974252248257       13.161569102697909
-4146.149575646599        6000                     15.5                     15259.876196569658       18.311851435883586
-4146.149575646597        6000                     0                        1.4901161193847656E-8    1.7881393432617183E-11
-4132.100759278387        6000.000000000001        9.64393582197414         5147.994808802445        6.1775937705629325
-4132.100759278386        6000                     0                        9823.98100318176         11.78877720381811
-4146.149575646598        6000                     21.58989868000204        16664.688673657885       19.99762640838946
-4132.100759278383        6000                     31                       12151.891486441233       14.582269783729478
-4146.149575646597        6000                     31                       18835.206884652245       22.602248261582687
-4132.100759278381        6000                     25.143935821977692       10801.019746828351       12.961223696194022
-4123.570399270132        6000                     5.71462391009245         13055.11601297966        15.66613921557559
-4108.967385826326        6000                     15.499999999999996       8914.833705719417        10.6978004468633
-4123.570399270131        6000                     15.499999999999998       8458.904813945614        10.150685776734736
-4123.570399270132        6000                     0                        15789.764869045404       18.947717842854484
-4108.967385826326        6000                     10.024744923127702       11425.303481763496       13.710364178116196
-4108.967385826325        6000                     0                        18891.65460806669        22.669985529680023
-4146.149575646598        6000                     37.08989868000603        17430.395230384776       20.91647427646173
-4132.100759278385        6000                     46.5                     10967.973915823026       13.16156869898763
-4146.149575646597        6000                     46.5                     15259.8783846611         18.311854061593323
-4132.100759278383        5999.999999999999        40.643935821975795       12373.121532382364       14.847745838858835
-4123.570399270129        6000                     31                       8221.83594845945         9.86620313815134
-4123.570399270131        6000                     21.214623910093504       8414.180637580306        10.097016765096367
-4100.992012992219        6000                     15.499999999999996       9125.468305422264        10.950561966506715
-4100.992012992221        6000                     0                        20585.980180288167       24.703176216345796
-4100.992012992221        6000                     5.345031102275508        16609.870928167387       19.931845113800865
-4085.849836972722        6000                     15.499999999999996       9141.473470818153        10.969768164981781
-4085.849836972722        6000                     10.392827214664544       12866.723108516964       15.440067730220356
-4085.849836972722        6000                     0                        20589.082890737227       24.70689946888467
-4078.4091620573927       6000                     4.990768447690028        16877.077341768105       20.252492810121726
-4062.7557057690938       6000.000000000001        15.499999999999996       8727.755498955139        10.473306598746165
-4078.4091620573927       6000                     15.499999999999996       9127.146514554495        10.952575817465394
-4078.4091620573936       6000                     0                        20590.589057203266       24.708706868643915
-4062.7557057690938       6000                     10.740183405319742       12193.712344591135       14.632454813509359
-4062.755705769093        6000                     0                        17270.796637165033       20.72495596459804
-4055.8188694238243       6000.000000000001        4.65792659888636         13567.83447080231        16.281401364962772
-4039.677036948222        6000                     15.5                     13295.320188384192       15.954384226061029
-4055.818869423823        6000                     15.499999999999996       8459.884799988416        10.1518617599861
-4055.8188694238243       6000                     0                        15799.378296871697       18.959253956246034
-4039.677036948223        6000                     11.07595286795393        15418.042242335196       18.501650690802233
-4039.6770369482206       5999.999999999999        0                        4509.680743829651        5.41161689259558
-4146.149575646598        6000                     52.58989868001088        9263.948049048719        11.11673765885846
-4132.100759278389        6000                     61.99999999999999        9823.983861097227        11.788780633316671
-4146.149575646597        6000                     61.999999999999986       1.4901161193847656E-8    1.7881393432617183E-11
-4132.100759278386        6000                     56.14393582197242        15589.687807468303       18.70762536896196
-4123.570399270129        6000                     46.5                     8458.90330668896         10.150683968026753
-4123.570399270129        6000                     36.714623910094836       8320.676544070115        9.984811852884137
-4055.818869423823        6000                     20.157926598887727       8437.870261141143        10.125444313369368
-4039.677036948222        6000                     31                       15773.293993915446       18.927952792698534
-4055.8188694238224       6000                     31                       8217.810402361007        9.86137248283321
-4039.6770369482215       6000                     26.575952867954392       15876.128721809744       19.051354466171695
-4033.2300000000114       6000                     15.500000000000002       15265.913079900947       18.319095695881135
-4033.2300000000114       6000                     0                        1.4901161193847656E-8    1.7881393432617186E-11
-4033.2300000000114       6000                     4.331074432896797        4265.985661614574        5.119182793937488
-4123.570399270128        6000                     52.214623910095895       11107.30728192789        13.328768738313467
-4108.967385826329        6000                     62                       18891.658252191486       22.66998990262978
-4123.570399270127        6000                     62                       15789.769261713513       18.94772311405621
-4108.967385826329        6000                     56.52474492312383        16306.30462293798        19.56756554752557
-4108.967385826328        6000                     46.5                     8914.831694224757        10.697798033069708
-4055.8188694238224       6000                     35.657926598888785       8293.840133231071        9.952608159877283
-4039.6770369482206       6000                     46.499999999999986       13295.319888990152       15.954383866788184
