% Model:              20230907_silksimulation_70kPa1.mph
% Version:            COMSOL 6.1.0.357
% Date:               Oct 6 2023, 19:56
% Dimension:          3
% Nodes:              284
% Expressions:        2
% Description:        せん断速度, 
% Length unit:        µm
% x                       y                        z                        spf.sr (1/s)             spf.sr*spf.mu (Pa)
-85.1602642107254         1959.9999999999995       6.396171724520061        12398.282310087849       14.878077539437308
-74.31307241607828        1960                     15.499999999999996       8084.2418033480735       9.701421875839614
-85.16026421072104        1960                     15.499999999999996       8351.999657621744        10.02250989954555
-85.1602642107283         1959.9999999999998       0                        15797.123109459539       18.956783461410595
-74.31307241607726        1960.0000000000002       11.440483471434858       10055.771040706097       12.06731017402285
-74.31307241607422        1959.9999999999998       0                        19589.609968475022       23.50839064595857
-103.99477518220279       1960                     9.449640229469376        9886.691449556445        11.864050433158251
-94.75747336775143        1960                     15.499999999999998       12287.056336459922       14.744499155560925
-103.99477518220289       1960                     15.499999999999998       15726.008870576085       18.87123189951303
-103.99477518220303       1960                     0                        1.4901161193847656E-8    1.7881394205691533E-11
-94.7574733677512         1960                     7.386988199799838        3739.8197241067473       4.4877970607554705
-94.75747336774785        1960                     0                        7179.559385188208        8.615510100929711
-103.99477518220289       1960                     24.949640229469168       17851.386187896962       21.421692926321303
-94.75747336775466        1960                     31                       14337.01832147608        17.20446209643607
-103.99477518220274       1960                     30.999999999999996       19162.34701250133        22.99484638042436
-94.75747336775464        1960                     22.886988199793965       12512.270427972448       15.014757544588353
-47.49019002180617        1960                     0                        25816.889469279682       31.037620266146845
-47.49019002180587        1960                     12.7933344516584         11754.518684713797       14.130622272730399
-55.634544183272936       1960                     4.683702030215143        19052.31932953235        22.875735676431336
-55.63454418327328        1960                     0                        24182.26337968226        29.04340984603236
-55.63454418325858        1960                     15.499999999999996       9267.71978727932         11.1318444854674
-47.49019002180477        1960                     15.5                     10182.360030775439       12.243725506717162
-43.49861006506017        1960                     4.282348727027639        22586.53388384586        27.177110313167937
-43.498610065060156       1960                     0                        25359.007235041812       30.510687818314935
-43.49861006506018        1960                     15.499999999999998       10477.334112202025       12.6183202131872
-64.35231054614368        1960                     15.499999999999996       8773.901551778847        10.530677497228993
-64.35231054614079        1960                     12.27503541067698        10280.002139333059       12.338006439724376
-60.80166556389531        1960.0000000000002       15.499999999999996       8859.506106403445        10.633849907806614
-60.80166556389528        1960.0000000000002       13.962789040082948       10112.215863750851       12.137342067961832
-64.35231054612916        1959.9999999999998       0                        21596.480734493667       25.92064431334365
-60.80166556389499        1960                     0                        22998.061104870947       27.60361676110107
-103.99477518220277       1960                     40.449640229469374       17036.969463853606       20.4443850755287
-94.75747336775805        1960                     46.5                     12287.057637967084       14.744500716605826
-103.9947751822028        1960                     46.49999999999999        15726.009455946645       18.87123260144451
-94.75747336775802        1960                     38.38698819978812        14170.798774341414       17.00499755367626
-47.490190021805056       1960                     28.29333445165902        9131.32879325506         10.979487150084044
-55.63454418325892        1960                     20.18370203022805        9052.617547062913        10.872693962227256
-55.634544183244586       1960                     31                       5711.328172712831        6.862359690536532
-47.49019002180401        1960                     31                       8485.948786248893        10.204771120720137
-43.498610065060184       1960                     19.78234872702735        10804.91045135372        13.012593995857088
-43.49861006506017        1960                     31                       9681.596436415886        11.661675760430835
-85.16026421071402        1960                     31                       8946.402634322421        10.735808201197353
-85.16026421071814        1960                     21.896171724529516       8747.340015800157        10.496931754891163
-85.16026421070393        1959.9999999999998       52.89617172454803        11608.322750301902       13.930191998303055
-74.31307241609022        1960.0000000000002       62                       19589.60352544635        23.508382898067982
-85.1602642106996         1960                     62                       15797.120368180145       18.956780163941986
-85.16026421070677        1960                     46.5                     8352.000512000053        10.022510922124791
-74.31307241608923        1960                     57.94048347139939        17429.896017431733       20.916672275438756
-74.31307241608621        1960                     46.5                     8084.24095117314         9.701420848521652
-103.99477518220299       1960                     55.94964022946905        5839.318237732216        7.007182446391842
-94.75747336776118        1960                     62                       7179.559264773111        8.61550995467392
-103.99477518220303       1960                     61.99999999999999        1.4901161193847656E-8    1.7881394205630988E-11
-94.75747336776143        1960                     53.88698819978228        15667.802263521233       18.8014193193653
-47.490190021804025       1960                     43.7933344516598         9767.063152086277        11.745462589310115
-55.634544183244586       1960                     35.683702030241264       6155.126170129436        7.3961062007448914
-55.63454418323023        1960                     46.5                     9267.729171690491        11.131855621913676
-47.49019002180286        1960                     46.5                     10182.372727892385       12.243740372946032
-43.49861006506017        1960                     35.28234872702764        9575.209771531385        11.533271288789706
-43.49861006506018        1960                     46.5                     10477.34530753595        12.61833247287316
-85.16026421071113        1960                     37.39617172453868        8693.578349282043        10.432408200322591
-60.801665563895625       1960                     29.462789040076704       4918.122272006154        5.903260202527241
-60.801665563895654       1960                     31                       4787.3909048472          5.746361087076055
-47.490190021802874       1960                     59.29333445166068        24014.63154317921        28.874250518544567
-55.63454418323023        1960                     51.18370203025448        14168.96780901051        17.02492217159069
-55.634544183215894       1959.9999999999998       62                       24182.24000429095        29.043381790034164
-47.49019002180177        1960                     62                       25816.857446835304       31.037581652631317
-43.49861006506015        1960                     50.782348727027745       13028.616774292383       15.686024084493534
-43.498610065060156       1960                     62                       25358.968982426864       30.510639873674293
-64.35231054618717        1959.9999999999998       62                       21596.466180220345       25.92062689220205
-64.35231054618436        1960                     58.77503541063831        19884.864723195577       23.86665631889983
-60.80166556389631        1960                     62                       22998.0440686979         27.603596355101633
-60.80166556389628        1960                     60.46278904006421        21525.454784796544       25.836198437101324
-64.35231054617273        1960                     46.5                     8773.908803540544        10.530686204244768
-60.801665563895966       1959.9999999999998       46.5                     8859.515131413895        10.633860739653212
-60.80166556389594        1959.9999999999998       44.962789040070454       8948.664588089337        10.74086895475747
85.07855871300302         1960                     14.9485224590624         8652.845068823757        10.38341408258886
85.73206436895114         1960                     15.499999999999996       8134.526173064447        9.761431407677556
85.078558713003           1960                     15.499999999999996       8380.705753658545        10.056846904390508
85.07855871300293         1960                     0                        15559.18967558261        18.671027610700154
85.73206436895241         1960                     0.7399734151883565       15074.65650049521        18.08958780059514
85.73206436895242         1960                     0                        15364.037610458001       18.436845132550488
98.76555831556178         1959.9999999999998       10.997778883041757       15502.33542217657        18.60280250661189
104.10172010090912        1960                     15.5                     15689.119290362953       18.826943148435547
98.76555831556178         1960                     15.499999999999998       13724.973637387517       16.46996836486503
98.76555831556183         1959.9999999999998       0                        4062.441884277663        4.874930261133197
104.10172010090918        1960                     6.044035188906322        5853.021302992705        7.023625563591246
104.10172010090928        1960                     0                        1.4901161193847656E-8    1.788139343261719E-11
98.76555831556178         1960                     26.497778883041867       16220.66253132315        19.46479503758779
104.10172010090912        1960                     31                       19113.236705626263       22.935884046751525
98.76555831556179         1960                     31                       16395.851791386907       19.6750221496643
104.10172010090912        1960                     21.54403518890632        16994.75055255302        20.393700663063633
43.9963280293618          1959.9999999999998       11.27172086854748        13962.158994545429       16.754604245440568
49.00462215739394         1960                     15.5                     10493.564091891685       12.592279635148463
43.996328029361806        1959.9999999999998       15.5                     11296.018059686567       13.555228345394978
43.99632802936183         1959.9999999999998       0                        26442.606208139507       31.731153644880774
49.00462215739396         1960                     5.666840662003939        21159.313238648203       25.391189578382647
49.00462215739428         1960                     0                        25856.563142035906       31.0278895144628
57.69393598279281         1960                     7.3354905849057275       15738.696809387679       18.88643626400212
67.36635957184511         1960                     15.499999999999996       8328.8205721148          9.994584692045526
57.69393598279284         1960                     15.499999999999995       9223.903539897952        11.068684267106192
57.69393598279278         1960                     0                        23652.177889974173       28.382613686968867
67.36635957184535         1960                     10.947552617997609       13007.962624713768       15.609555232987336
67.36635957184535         1960                     0                        22341.28541105971        26.809542577123004
83.16475581613375         1960                     13.333336233877164       10046.27281181654        12.05552737429182
83.16475581613375         1960                     15.499999999999996       8340.548353001384        10.008658023611186
71.38801456213822         1960                     3.3944267247935773       18349.236761506385       22.01908411443985
71.38801456213822         1960                     15.499999999999996       8225.42480727434         9.870509768789361
71.3880145621382          1960                     0                        20460.57939305068        24.552695272331995
83.16475581613015         1960                     0                        16206.981744608882       19.448378093643232
98.76555831556179         1960                     41.99777888304199        13931.943192156723       16.718331830588074
104.10172010090912        1960                     46.5                     15689.12057985128        18.826944695821542
98.7655583155618          1960                     46.5                     13724.974824689065       16.469969789626887
104.10172010090912        1960                     37.04403518890632        17807.605894965684       21.369127073958825
43.996328029361806        1959.9999999999998       26.77172086854748        10246.853574558405       12.296230392571353
49.00462215739394         1960                     31                       8339.653222911498        10.007586027820675
43.996328029361806        1959.9999999999998       31                       10370.996783456449       12.445203525263262
49.00462215739394         1960                     21.166840662003942       9428.780743306623        11.314539758699041
85.73206436895113         1960                     16.239973415186817       8299.72595566203         9.959671146794662
85.7320643689499          1960                     31                       8771.324002052423        10.525588802463176
85.07855871300332         1960                     61.448522459065785       15155.802916124274       18.18696349935005
85.73206436894738         1960                     62                       15364.039176185488       18.436847011423474
85.07855871300332         1960                     61.99999999999999        15559.19129116592        18.671029549400128
85.0785587130032          1960                     46.5                     8380.708097875475        10.056849717450824
85.7320643689486          1960                     47.23997341518374        8289.230838499905        9.9470770062001
85.73206436894863         1960                     46.5                     8134.527816245842        9.76143337949523
98.76555831556188         1960                     57.4977788830421         2253.301049092923        2.7039612589115087
104.10172010090928        1960                     62                       1.4901161193847656E-8    1.788139343261719E-11
98.76555831556188         1960                     62                       4062.4421043682655       4.87493052524192
104.10172010090922        1960                     52.54403518890653        9836.098825343774        11.803318590412534
43.996328029361806        1959.9999999999998       42.27172086854748        11627.517368096225       13.95302903712981
49.00462215739363         1960                     46.5                     10493.563012050829       12.592278334108567
43.996328029361806        1959.9999999999998       46.49999999999999        11296.0164795281         13.555226436910822
49.00462215739363         1960                     36.66684066200356        9623.330445323216        11.547998699738004
85.73206436894988         1959.9999999999998       31.739973415185283       8740.80257050534         10.488963084606677
57.693935982792866        1960                     31.000000000000004       5695.4055335600715       6.834486646483977
57.693935982792866        1960                     22.835490584906424       7506.479388405875        9.007775279477007
43.996328029361834        1959.9999999999998       57.77172086854747        23569.10542400985        28.28294565096537
49.004622157393484        1960                     62                       25856.56232825985        31.0278885180401
43.99632802936183         1959.9999999999998       62                       26442.603229444932       31.731150002558135
49.00462215739346         1960                     52.16684066200336        14971.919910901615       17.966306517986137
57.69393598279298         1960                     53.835490584907774       16898.36538473908        20.278038605599296
67.36635957184427         1960                     62                       22341.287357008827       26.809544912131482
57.69393598279301         1960                     62                       23652.179046123398       28.38261507394001
57.69393598279294         1960                     46.5                     9223.903181368696        11.068683836849107
67.36635957184465         1960                     57.447552617996756       17437.73861036613        20.925286337966728
67.36635957184465         1960                     46.5                     8328.821282187306        9.99458554412925
