% Model:              20230907_silksimulation_80kPa.mph
% Version:            COMSOL 6.1.0.357
% Date:               Oct 2 2023, 21:12
% Dimension:          3
% Nodes:              6683
% Expressions:        1
% Description:        サーフェス
% x                       y                        z                        sqrt((ux^2+vy^2+wz^2))
-4132.601771309903        6000                     2.764386146159211        1591.8878516278407
-4132.601771309903        6000                     3.1                      1785.1450603138119
-4132.100759278386        6000                     3.1000000000000005       1730.2574094598704
-4132.100759278386        6000                     0.3439358219746913       143.18667881293598
-4132.601771309903        6000                     0                        0.024949223335149175
-4132.100759278386        6000                     0                        0.02597817325854475
-4132.601771309904        6000                     5.864386146157331        3185.463890819563
-4132.601771309904        6000                     6.2                      3355.4671622640585
-4132.100759278384        6000                     6.2                      3258.2944889438545
-4132.100759278386        6000                     3.4439358219748115       1862.1911581424156
-4132.601771309904        6000                     8.964386146156048        4564.219680242894
-4132.601771309904        6000                     9.299999999999999        4710.966306233129
-4132.100759278383        6000                     9.3                      4584.111238890674
-4132.1007592783835       6000                     6.543935821976852        3378.997481608635
-4132.601771309904        6000                     12.064386146156048       5728.152511686667
-4132.601771309903        6000                     12.400000000000002       5851.642492222146
-4132.100759278383        6000                     12.4                     5707.707659297263
-4132.100759278383        6000                     9.643935821977692        4693.583475531257
-4132.601771309904        6000                     15.164386146154284       6677.2623851930075
-4132.6017713099045       6000                     15.5                     6777.495720279605
-4132.10075927838         6000                     15.5                     6629.083750212358
-4132.100759278382        6000                     12.743935821977812       5805.949139918168
-4136.7286307579525       6000                     0.2670173232666731       153.77410701220484
-4136.7286307579525       6000.000000000001        3.100000000000001        2237.2429378208512
-4136.728630757953        6000                     0                        0.01697817271218359
-4136.7286307579525       6000                     3.3670173232679406       2372.4990304050602
-4136.72863075795         6000                     6.200000000000002        4155.858558315925
-4136.72863075795         6000                     6.467017323268928        4272.611459967231
-4136.728630757947        6000                     9.299999999999999        5755.846861648577
-4136.728630757947        6000                     9.567017323271795        5854.096572367648
-4136.728630757947        6000                     12.400000000000004       7037.207847828496
-4136.728630757946        6000                     12.667017323271985       7116.954367618242
-4136.728630757944        6000                     15.5                     7999.941516885371
-4137.117604325917        6000                     2.8394526062636407       2088.243255516191
-4137.117604325917        6000                     3.100000000000001        2279.8538205045093
-4137.117604325916        6000                     0                        0.016225292810653463
